,Dynamic Sharpe,60/40 Sharpe,Equal Sharpe,Dynamic Volatility,60/40 Volatility,Equal Volatility
2018-05-31,0.9568033627570032,0.5212661506160382,0.24191795392199966,12.243061588682766,7.713259901603712,5.414369849552206
2018-06-01,0.9967886485869306,0.5079890930964551,0.23759171295437487,12.274327806593837,7.707848000793671,5.413636245368828
2018-06-04,0.9801230201806963,0.4217269250679078,0.12213136295755836,12.264454666183754,7.681197320626393,5.37689931473617
2018-06-05,1.0034311281838677,0.4781744407448651,0.19005939211206244,12.265545025875529,7.675135406503664,5.378171019694018
2018-06-06,1.0506940241314842,0.4974932656862417,0.15676738781284816,12.266227320011533,7.67647799625997,5.374596626927871
2018-06-07,1.0054538136180264,0.5568802671031972,0.1959005262463456,12.272282281073323,7.683523572220332,5.3736731243920755
2018-06-08,1.0055101540388873,0.5742551219743167,0.2242039752642467,12.272278828632272,7.682778452591424,5.370767874575931
2018-06-11,1.1316491538257987,0.5950220338105034,0.3555843502795111,12.195934128234457,7.680570965766818,5.328811391465762
2018-06-12,1.1826967711407184,0.6097058699753928,0.3872821888038937,12.194534447089376,7.680525837559251,5.32665713371647
2018-06-13,1.1295734539299538,0.5432260055006558,0.3346510778792226,12.184169726146393,7.679845873659323,5.322557539066738
2018-06-14,1.2211320396565761,0.5362861722548963,0.383831494155541,12.201854238967297,7.676408504246905,5.336379939670775
2018-06-15,1.228354094289928,0.5545712300742669,0.3678584159134681,12.199327151219975,7.673828210532953,5.34113994547954
2018-06-18,1.2360869844657374,0.5215268002198336,0.35605564308252446,12.197705001888336,7.676011965808012,5.341974568932
2018-06-19,1.142239555416745,0.4650394066862699,0.31616958909096826,12.161131335792193,7.665092833907164,5.33888183068597
2018-06-20,1.225866033259452,0.43862541587626436,0.3066772634157334,12.140242406275828,7.6697949307553,5.34015127387886
2018-06-21,1.1398795425148984,0.40792042577893717,0.2355532623357711,12.151114211493981,7.672226373119598,5.337959306859934
2018-06-22,1.130962143167711,0.4138236188111787,0.22425193751256428,12.15220596766968,7.672552487747654,5.3374262183057954
2018-06-25,0.9639799059334466,0.30990079783208496,0.08016716769741308,12.271071983566948,7.710184027696434,5.371980570212542
2018-06-26,1.0120605491360635,0.3098353458301404,0.1154490745787897,12.269085114138125,7.710173190125946,5.36971547469385
2018-06-27,1.0387108939244174,0.4154658586078031,0.194055594392414,12.242931715456082,7.653697927470611,5.333956245231249
2018-06-28,1.007599880585943,0.40903726831320986,0.16393066283444901,12.21679981989174,7.651405021139696,5.326754228249102
2018-06-29,1.1261131383148064,0.5190930351705466,0.31497412129435526,12.147305503479355,7.598960431499684,5.273050059160505
2018-07-02,1.1592152053146079,0.5292951271822611,0.32169384622520664,12.154362778970475,7.599230475720311,5.272461307945439
2018-07-03,1.1330792799084446,0.5330940862128949,0.43867217183839885,12.173531414805474,7.5990599947410145,5.24103313689856
2018-07-05,1.1706917013863878,0.5912263543319338,0.46802756816665597,12.204322243081283,7.6195584248490125,5.2513531489423775
2018-07-06,1.3407760685900016,0.7939992856657292,0.6444074619224974,12.231032048387593,7.587340647027791,5.243595942168243
2018-07-09,1.355637596893311,0.811101236172443,0.6809510370903892,12.24213929279823,7.590374719820078,5.245562667882622
2018-07-10,1.3403459701292428,0.8226886291646764,0.6463690423079996,12.239304395771624,7.591874684087808,5.2425120641755845
2018-07-11,1.2834451719052504,0.7810921928557814,0.5696839617893863,12.256486609817928,7.598909291591649,5.251221689083203
2018-07-12,1.319852106925808,0.7580420446805918,0.5593993322337593,12.300910546232545,7.5843237450605185,5.245816562781845
2018-07-13,1.3140286588123065,0.7977913786069922,0.5830462392106893,12.300673950996858,7.582696060536806,5.244353639345942
2018-07-16,1.2470399005935515,0.7256094942435708,0.4770387378108889,12.290616580027647,7.5816067630121635,5.2348024170937295
2018-07-17,1.2837716534969508,0.7339818427288373,0.43808391226875615,12.298704092862797,7.582429891021225,5.23398300251546
2018-07-18,1.2472868010828777,0.6799829261900329,0.3397937418538978,12.295406804305319,7.575006441968797,5.217823122436071
2018-07-19,1.1702443413933226,0.6390509213199832,0.2921046529590783,12.298715292744243,7.56887408207244,5.215767583138851
2018-07-20,1.1565798114004753,0.5443558035050307,0.23746717323260266,12.29957788560592,7.5916278489045474,5.218983090664356
2018-07-23,1.1741846761831183,0.4777046435088353,0.13688070396508759,12.30070452427117,7.602616239724758,5.224284588907734
2018-07-24,1.193310559768556,0.5572430911705715,0.1810422033186377,12.305536990631529,7.610842057421295,5.228451481572573
2018-07-25,1.2872027829161117,0.6655314744894621,0.3338899611660342,12.35453889838552,7.610759727943684,5.228404466713249
2018-07-26,1.1769109587212612,0.6276279501446297,0.1888267142092162,12.4070952475891,7.61495330724913,5.245512682667621
2018-07-27,1.1103685753268118,0.6158205540384398,0.18321576382156807,12.456322351509998,7.618783096646438,5.247075360101938
2018-07-30,1.018567992083698,0.5337402902030337,0.05788599684547602,12.511232298784341,7.633108420284714,5.2620107104071305
2018-07-31,1.0878892557479733,0.5978610083428644,0.1375458369353739,12.522508242018537,7.648211546743326,5.273505247384696
2018-08-01,1.0870484077143752,0.4876280836455561,0.04513703818562593,12.522405697551722,7.652561489302349,5.276811604513309
2018-08-02,1.1588069815515665,0.530420477060523,0.09710633857683357,12.561992948716991,7.660657809951788,5.28332752547952
2018-08-03,1.206331581159264,0.5507739804060026,0.12416674142177013,12.560850148692996,7.667835890002743,5.289268110250051
2018-08-06,1.239329685049535,0.612858652062652,0.1921256733310608,12.568305904084601,7.6660961387585385,5.282247549423129
2018-08-07,1.2388818468933875,0.5911553713385275,0.16860958794757674,12.568178582154383,7.665252046128697,5.2806213509806685
2018-08-08,1.2569027648790532,0.6318109657604659,0.20433813689996086,12.565931043026735,7.658292323440613,5.279875833314254
2018-08-09,1.245294921829468,0.6366956168210517,0.17635390652713454,12.566986385128473,7.659285379237285,5.274427822037564
2018-08-10,1.3180032068363576,0.6904256590504039,0.21958993292959292,12.488091346650473,7.640994387529035,5.2670113456472105
2018-08-13,1.2656315236797746,0.6354269902044181,0.09499112036139516,12.485688914739406,7.648427950791895,5.275651300801555
2018-08-14,1.2417101560507824,0.6234619646895647,0.10510977219317318,12.467325309533505,7.6446848163399475,5.2769539703729444
2018-08-15,1.1560792564442928,0.6179867133574055,0.06390136881498498,12.518476928140435,7.645933638150446,5.292309881828414
2018-08-16,1.1766294431877984,0.6470936721673289,0.04185109091651385,12.52458709129469,7.655868236879416,5.28772255008203
2018-08-17,1.3259891680023619,0.7680795022787007,0.15245026322688182,12.413295706138165,7.628574995564712,5.281008262540475
2018-08-20,1.3370694899860913,0.8326732724549868,0.21727409880418724,12.411854319674365,7.635514477987268,5.28658740471982
2018-08-21,1.3613255510760462,0.8145251240752163,0.20899420614912292,12.413942590520623,7.634885963775606,5.28602417552505
2018-08-22,1.2953891222638378,0.7702260129419344,0.19779834587488312,12.372490449848664,7.623188301848301,5.283738533264395
2018-08-23,1.307482955987459,0.7606225414294977,0.1388179899065903,12.36905332018324,7.623379871505291,5.286441937866842
2018-08-24,1.3928731384173143,0.855557577776532,0.2937395012542481,12.385577044127038,7.626727897653805,5.309770335644262
2018-08-27,1.460929847681247,0.8489085086740781,0.30508025630175417,12.414474261366328,7.6251760611126675,5.311738388696202
2018-08-28,1.445999067656148,0.8236734653192653,0.20004648811141224,12.412691630612233,7.629121900852437,5.31028948450787
2018-08-29,1.5010919514631755,0.8463116778471379,0.24166273065191293,12.440911796388548,7.634843271759231,5.320401542407822
2018-08-30,1.4229379676600142,0.7902633575795744,0.17588021877796872,12.428864324132647,7.633937341466153,5.316782641714383
2018-08-31,1.3627394209485595,0.7167955144982175,0.06783769709791723,12.40415645362093,7.622285898879612,5.290457552607916
2018-09-04,1.3332656821159696,0.701541670884611,0.034489326627071305,12.411186259069312,7.6269891816898765,5.298912116497726
2018-09-05,1.291107972431438,0.6401563707140079,-0.07074262491744261,12.44159688924949,7.631397650960882,5.297532711793772
2018-09-06,1.22039143719878,0.641151469396501,-0.060162836025463254,12.465023980140847,7.63132498013522,5.2963758485743515
2018-09-07,1.170526331886215,0.5282618031072286,-0.21872211326668628,12.469276103629863,7.638361677054811,5.291761914930615
2018-09-10,1.2305833906005483,0.5817353456226623,-0.14624273402289287,12.45952238581999,7.639140310624462,5.2875554932758115
2018-09-11,1.2292996393437452,0.5471231334685447,-0.11372198114004897,12.45877892733876,7.63945025554359,5.284145883159139
2018-09-12,1.1916435366343292,0.5625157775372466,-0.08642026541818629,12.459726943451859,7.639717198064458,5.285985770619072
2018-09-13,1.2661188390643912,0.6330243760914435,-0.0032536325750223867,12.4859969307153,7.6474667515810735,5.2865046875035455
2018-09-14,1.266860806332449,0.590126831062437,-0.0626979577439927,12.485802806163306,7.649724242848572,5.294250589563543
2018-09-17,1.1624299466366304,0.5353280637981963,-0.11263572559041177,12.543989683420936,7.657561606549007,5.300566217149134
2018-09-18,1.2315473149376712,0.5363107100891304,-0.061834118708442555,12.558612370988588,7.657432804971292,5.290702633277735
2018-09-19,1.218354967501769,0.5182346619319178,-0.07783988422255514,12.558702291074322,7.65992903284542,5.291255387165932
2018-09-20,1.3169947232130517,0.5969675205178172,0.04938083703950608,12.587221470137578,7.686390990512894,5.304910709818585
2018-09-21,1.3278821526374311,0.611638456753368,0.06528635003791165,12.581685263399942,7.684037014740176,5.300383437814396
2018-09-24,1.3289915740214606,0.5553739557376439,0.024292116729590092,12.58165736541402,7.690846036613712,5.29960932033156
2018-09-25,1.3622413029671632,0.5262664852662662,0.0007685763713223922,12.57412418250217,7.691353753141572,5.29847228688582
2018-09-26,1.3635584085202601,0.54403335665907,0.04398369249290247,12.573927888331603,7.691350093007814,5.294830598362057
2018-09-27,1.3849333074497512,0.6187192664156189,0.10732821040372437,12.58338016302524,7.682186374419005,5.286297379697837
2018-09-28,1.3790314068217988,0.611808641280035,0.1225864296425166,12.58372400134053,7.682927271965652,5.28655865039761
2018-10-01,1.371516520340674,0.5616995937195595,0.0826413822153134,12.582038670680687,7.679228863036528,5.287299020160544
2018-10-02,1.346046414582209,0.5645753970909095,0.14979381813982556,12.58437339387768,7.679709974166194,5.293938822621129
2018-10-03,1.3376515669526854,0.4540406727589174,0.04150492886141118,12.583869992298286,7.710432123415516,5.315063936268887
2018-10-04,1.195850352834263,0.3448456203630948,-0.0935315042824652,12.687280871230417,7.750012104399831,5.351052462059274
2018-10-05,1.0641393107282062,0.22974261445999505,-0.185014981644776,12.719701062688218,7.780246297988276,5.369890427193813
2018-10-08,1.0272604261808056,0.23579258373928655,-0.2496262672945378,12.72829540435742,7.779152054095427,5.381481326952066
2018-10-09,1.0425955032931418,0.27265170436232267,-0.2339465249935842,12.728194393173375,7.784628083225279,5.384469320761704
2018-10-10,0.6759710970283404,-0.0173561461392287,-0.48317584937355845,13.377186449975435,8.050931113186993,5.53491383635795
2018-10-11,0.5353196353966598,-0.1437828395134238,-0.4938992848567406,13.476250974046867,8.096027346344083,5.533389793982339
2018-10-12,0.7044113582743324,-0.06850857754506959,-0.40405270236078705,13.656918370620314,8.12399229644173,5.558118015720299
2018-10-15,0.6077240004356828,-0.15656973110873987,-0.5081224539855081,13.694198138999036,8.124871485576541,5.547391853052295
2018-10-16,0.775484881248246,0.00790700383454209,-0.33654335597950225,13.933432942472642,8.240788537100498,5.6090211907210215
2018-10-17,0.7767891127751526,-0.030951046291389405,-0.34981245291427704,13.933385972228898,8.244007469062472,5.610496715378491
2018-10-18,0.6275688336746277,-0.11292245311361933,-0.41124608061463613,14.08926010006121,8.290308393855582,5.636522412087267
2018-10-19,0.6283652354082145,-0.13789084963890466,-0.4424283454495109,14.089152318697865,8.291025295105813,5.636415649570744
2018-10-22,0.6211474432909818,-0.16247694476809132,-0.4113239965474089,14.087863186465931,8.296758592243,5.631668201693889
2018-10-23,0.6234027711992968,-0.16448548815495634,-0.38298372746165044,14.086789297042396,8.297126403214774,5.630818943299449
2018-10-24,0.3096071225842254,-0.32776894958986835,-0.5254484514017106,14.691549742285916,8.440401393336185,5.720219065051915
2018-10-25,0.5196962755459748,-0.16261589721391598,-0.35455632885238597,14.949502766769868,8.472925513082329,5.757751195498768
2018-10-26,0.37223635775781705,-0.2520068526622989,-0.3955441963691848,15.133314714858464,8.513665681396322,5.773728269761782
2018-10-29,0.157673647837095,-0.3911838581646723,-0.6435776043038373,15.123315607332518,8.491551905811228,5.7342134475941
2018-10-30,0.26341781297553096,-0.32822439288633193,-0.6285505418532769,15.202550600103615,8.517425915845571,5.7382219812308914
2018-10-31,0.37159106797770286,-0.28943213390706185,-0.5706518914868363,15.313914460924119,8.52763127192665,5.7479692360696655
2018-11-01,0.44482283702365516,-0.24011422866867707,-0.4829645126270469,15.359556410849166,8.549975396825268,5.7818519560765385
2018-11-02,0.36762548788665533,-0.36188814029730304,-0.6109736636371906,15.411755232123273,8.591351551984182,5.821611096808805
2018-11-05,0.3352475923191989,-0.34077407437024976,-0.6296030559469564,15.40375831337179,8.599566042478305,5.818967991442254
2018-11-06,0.3611619436557713,-0.3276777975482841,-0.6588095340162131,15.416180400769841,8.603380023402577,5.812318675094791
2018-11-07,0.5339796020506972,-0.1862293836457844,-0.5022514338010851,15.652466448955865,8.70322336414017,5.8788415568217145
2018-11-08,0.48446332914870294,-0.20067508605822318,-0.5519039858902518,15.659453814101223,8.70407670715972,5.881675055633201
2018-11-09,0.4131206774262189,-0.19603827300877066,-0.6018028260290939,15.725497551746361,8.702572055805303,5.896587745320362
2018-11-12,0.24688499196629035,-0.22365130184538304,-0.647349592098314,15.954888616336168,8.723964103173223,5.9276078720280045
2018-11-13,0.2391688987517813,-0.25532340344989873,-0.6629575530759065,15.954737663805302,8.724164641996518,5.926994287932115
2018-11-14,0.20823743217698856,-0.31427787245324706,-0.6836196024480002,15.970855537590342,8.732170820634328,5.926716855595397
2018-11-15,0.3285031114191082,-0.2593730884607575,-0.6069398321223399,16.030213241226225,8.751907725913398,5.94701822166294
2018-11-16,0.2610215378861841,-0.23314398798431854,-0.5894969374963931,16.004839166489074,8.758844315423959,5.950695136818823
2018-11-19,0.09962779883156278,-0.348952571891564,-0.7461745531130642,16.24241849031944,8.806261109505005,5.9928805634011155
2018-11-20,-0.007498324893711686,-0.48068035212187415,-0.8057190991090759,16.34708398385656,8.875578385029545,6.019568012015261
2018-11-21,-0.018765712088196114,-0.5183534060998474,-0.8345389827698767,16.339301835026493,8.862391141015554,6.01154317036844
2018-11-23,-0.06852951373808817,-0.5671636222838677,-0.9184727581413674,16.35491887654159,8.869257010170987,6.008722249523623
2018-11-26,0.04141467054451953,-0.4699150490787787,-0.8175504792401521,16.479440702385677,8.912226723546437,6.037252514630722
2018-11-27,0.06186630441652181,-0.4323424383945434,-0.8160725478090287,16.482496708382328,8.9152351685873,6.037324712854367
2018-11-28,0.1979281980883457,-0.3727944757006894,-0.7001134559697741,16.716003620001153,8.967675045488095,6.098898966885698
2018-11-29,0.23373854889171283,-0.3220427956514509,-0.5878549255318728,16.69404232963134,8.95703797198231,6.06649121067195
2018-11-30,0.2333470107907682,-0.30786712182925063,-0.5450064993446577,16.693782652052683,8.9632985498583,6.073426425669927
2018-12-03,0.34162963295125365,-0.23273468738050918,-0.45553667221893057,16.763672204051154,9.017585304008852,6.117242417861871
2018-12-04,0.1539264224967147,-0.36838423125979247,-0.5265632053804139,17.16262204219578,9.113476431672902,6.155214410656263
2018-12-06,0.1893291016977711,-0.3626799098913592,-0.4808613636613871,17.165202099203718,9.113508877123907,6.158038943532064
2018-12-07,0.0031219081686831504,-0.5201897359143927,-0.616879041866634,17.430367125766598,9.21008381199117,6.198710076486997
2018-12-10,0.036494013445666405,-0.47608837029761153,-0.5369261148404448,17.444952862428188,9.2135652177297,6.1967619025014535
2018-12-11,0.023933435307713788,-0.5114313839342464,-0.5650575517387184,17.44098472681305,9.207575550111843,6.195009343385546
2018-12-12,0.041229416040626646,-0.5087759175482143,-0.5514312830787115,17.451001378258468,9.207875626453758,6.1963541113336245
2018-12-13,0.03992779034401672,-0.5310302326487828,-0.5606113169342576,17.45100073280346,9.208086673486392,6.1965832806608905
2018-12-14,-0.09804356323951235,-0.6658403738250536,-0.7314224330901671,17.59771555972084,9.2547678409974,6.223651339739383
2018-12-17,-0.20710548966759929,-0.7569954407343393,-0.790676877653196,17.732151986723686,9.302965948816365,6.238527680470856
2018-12-18,-0.23742600261849506,-0.8098873866581184,-0.8135854007564883,17.712962514390334,9.281267853438479,6.230859643532393
2018-12-19,-0.3957750444779617,-0.8516055703952796,-0.9102092001617318,17.827691699501184,9.288454342760701,6.248002059393086
2018-12-20,-0.45543017449703643,-0.8885929429473363,-0.8941405432169773,17.886788731553242,9.326089874901204,6.241291406477263
2018-12-21,-0.6007274934775886,-0.9641352754554208,-0.9968573966710085,18.09763662539174,9.39598586224532,6.304293764552214
2018-12-24,-0.7416547231206609,-1.140465241126778,-1.106281521114189,18.27467972140298,9.490272329968425,6.324472365658981
2018-12-26,-0.41167965396107997,-0.8481894478397766,-0.8575643307983303,19.142916214603908,9.827657231906613,6.503467144433318
2018-12-27,-0.3724927628582293,-0.8046096689616606,-0.8064456989715112,19.149140666968027,9.839309754946619,6.51468108819659
2018-12-28,-0.38003893135738637,-0.8350402481153926,-0.8187376067113987,19.149096353403955,9.826959292754891,6.51071732397207
2018-12-31,-0.34558901052207497,-0.77350037365713,-0.7652149576348817,19.167450838852286,9.85073011688138,6.525219017109493
2019-01-02,-0.31005368425827295,-0.7290104806834423,-0.7309194912233646,19.166216597288795,9.853751591631404,6.529056146073755
2019-01-03,-0.5253504195730911,-0.8253859590811952,-0.8556607584117105,19.358876254628704,9.90274659954963,6.533762691946114
2019-01-04,-0.35400933068770757,-0.7229420591470103,-0.7859279838533729,19.735381828005462,10.002979394579544,6.569074939758096
2019-01-07,-0.31686018429346635,-0.711995435654383,-0.7683928871270942,19.760891527797554,10.00633502624107,6.572957132781711
2019-01-08,-0.30792154745199346,-0.6943822777481817,-0.7725104677001848,19.76827839982428,10.012913192579763,6.572217767564855
2019-01-09,-0.28574499561489913,-0.6809612301668864,-0.7356339796867318,19.77889905748994,10.015073166089108,6.579326557196772
2019-01-10,-0.2730332593714158,-0.6459074494859003,-0.699622297506738,19.78131179596574,10.007418359982537,6.57101541275823
2019-01-11,-0.27679133301689973,-0.613953900202201,-0.6779281485333981,19.781999344842323,10.008329899499666,6.571659728759027
2019-01-14,-0.3504195499085792,-0.7259836591555808,-0.7766052822337282,19.785948801102712,10.002401108299576,6.567357754870278
2019-01-15,-0.30339398874819634,-0.7176897363331255,-0.7819735340274598,19.841903619613465,10.006497786153485,6.565135008053143
2019-01-16,-0.2863351723810367,-0.6951970674255744,-0.7673755136737606,19.840368369242974,10.008412561657895,6.565866003378902
2019-01-17,-0.28907131977883377,-0.7005038251058141,-0.756409922890823,19.838173120935455,10.005833918018716,6.5677583138551086
2019-01-18,-0.22858630931058177,-0.5944206882059319,-0.702925814642321,19.86900746430608,10.012651090290348,6.56266826391072
2019-01-22,-0.33704906342097424,-0.6541888679099378,-0.7626015162158932,19.945375210796747,10.026856218617205,6.569872270142009
2019-01-23,-0.37269930397730283,-0.696636655164622,-0.8140383783106774,19.926875514568586,10.013189594957435,6.560577021306862
2019-01-24,-0.3766209149228913,-0.6971775931331653,-0.8328893420194079,19.924961567775917,10.013025775812235,6.554560953560294
2019-01-25,-0.3131191600824827,-0.6416741387555064,-0.7563778685301782,19.953438562670556,10.015648532094989,6.570277571630115
2019-01-28,-0.3632679701519331,-0.7261653099929823,-0.808104237213096,19.98182762382382,10.020867967441472,6.576017507464544
2019-01-29,-0.45764514027853864,-0.7691596721517564,-0.8523786161518758,19.954490433584166,10.006305125885861,6.567317722506158
2019-01-30,-0.3176642407952441,-0.6088983452794487,-0.6547580953046286,20.06775480401826,10.02681626060065,6.604300143841043
2019-01-31,-0.21025542826967308,-0.4371597352999282,-0.4797506030224742,20.089421220974756,10.028806015771545,6.61444087307102
2019-02-01,-0.2368235093686508,-0.4849473774148473,-0.5699959158920207,20.089137886723428,10.027448341701016,6.615278554539758
2019-02-04,-0.1421045728861102,-0.39653214600895675,-0.48308918372317056,20.098282151739618,10.009215775009743,6.601667143548863
2019-02-05,-0.014512656347015675,-0.18659065679241615,-0.2590804842914849,20.024670028250107,9.872937528583043,6.5112598647851625
2019-02-06,0.13149553526785016,0.02967439317846764,-0.1283480921268005,19.775800637655262,9.623994397850804,6.431418579157083
2019-02-07,-0.024826101660250222,-0.09878036413310212,-0.2164852543240812,19.726949245040974,9.58656682903098,6.422371166452701
2019-02-08,0.03936292496018288,0.0005234537715410005,-0.08891183933161388,19.696095720187152,9.56197334721855,6.395678799983993
2019-02-11,0.21428693996010287,0.23942131261826172,0.0923494696061391,19.39085463990158,9.26663161599673,6.254732581901099
2019-02-12,0.2229228359512972,0.24194306592848291,0.0988659869819834,19.402147413895932,9.268248511847762,6.25728009726845
2019-02-13,0.15657488817715576,0.13403610389593867,-0.02811364810648206,19.35003792165685,9.21086973992169,6.223704913426918
2019-02-14,0.13319821985290764,0.1087352981911845,-0.03650287528753024,19.34529954656934,9.206018121110393,6.22133071682501
2019-02-15,0.10367079207295822,0.1469246492131565,-0.060959528132837774,19.31804688833169,9.225900793290274,6.21122616849288
2019-02-19,0.03853285134467625,0.07231345838476107,-0.09279704686551067,19.26571830137464,9.185868910239257,6.195952273426461
2019-02-20,0.051087027051235745,0.047547625247174825,-0.10252027361149088,19.264696557580685,9.183332838926574,6.196290035340894
2019-02-21,0.03638235251248806,0.04531018445503185,-0.12250181897977566,19.268245184246734,9.18463240533947,6.205711657915892
2019-02-22,0.09819490361285521,0.19827038922503262,0.023564761199605398,19.27313531836615,9.167371877337729,6.202533826542391
2019-02-25,0.10904983461355923,0.17272272399798458,-0.0070688759337273485,19.274831962550216,9.165893337248912,6.200442161040943
2019-02-26,0.022209375489503795,0.04794473082924865,-0.10822203179790026,19.19970179007138,9.076341331282126,6.1529736798449886
2019-02-27,-0.035263439649475085,-0.0830387664792505,-0.24968571832581937,19.1720298132843,9.063569396353044,6.148150648643817
2019-02-28,0.008163262780903348,-0.020975391476366907,-0.1835085272629631,19.143841572356713,9.029571244165524,6.115405444431417
2019-03-01,0.06782398319740589,0.018853686312827963,-0.20661997443645763,19.14843116432046,9.021830606289287,6.120732053994509
2019-03-04,0.12364418952081943,0.09671700366640706,-0.1363354386333842,19.110922131238695,9.00041233174541,6.110554441961511
2019-03-05,0.09615758858947483,0.0989249483913123,-0.14670717852966225,19.104302330949984,9.000351552433651,6.109751424581478
2019-03-06,0.021143324145491457,0.010149846681756568,-0.20786537631166993,19.095713417471465,8.98573734523194,6.104662437474738
2019-03-07,-0.05395489518926318,-0.03820875193854574,-0.28720876694441316,19.125387627708044,8.987851048379676,6.1007081273163415
2019-03-08,-0.06866921234824558,-0.025520571500916786,-0.2353519645923751,19.12596631835512,8.987548986246956,6.103582101960466
2019-03-11,-0.00027799802496490997,-0.00040634396055219175,-0.20732750096167418,19.20644459193192,9.003089776284282,6.113037362379244
2019-03-12,-0.0481422558196343,-0.030017084587507396,-0.21516355818018185,19.161689458148334,8.98458579157196,6.1096580985491915
2019-03-13,-0.032330452087514776,-0.01156643856712514,-0.19789497217951993,19.17046253620859,8.988703204592687,6.113988059327504
2019-03-14,0.007053345032580793,-0.027268031636772553,-0.22771548363956137,19.14969452962745,8.993008356487984,6.122812738735262
2019-03-15,0.044584336641767607,0.030199002674875415,-0.16143134168764778,19.16460316448533,9.009442587457169,6.140483760098133
2019-03-18,0.06348565380545844,0.05900461912267562,-0.12607670135224483,19.166124123501596,9.010799726330468,6.138800978208471
2019-03-19,0.08758566276370333,0.059477237183789534,-0.09111695915156315,19.16550302710105,9.010755098889229,6.136527947301355
2019-03-20,0.1827708920165689,0.19146169556064252,0.08121244971927401,19.0913992314622,8.96134038828522,6.117941818460336
2019-03-21,0.247123642940561,0.28212351060863544,0.16341685667094696,19.140188193424702,8.991366155218742,6.129194810934354
2019-03-22,0.14947908505975596,0.228526211496274,0.08623104966695866,19.25915988483692,9.00924704177009,6.131523260225502
2019-03-25,0.23923021366506683,0.3583824102033072,0.22348738998798084,19.166945684872335,8.935155973044807,6.095027020250181
2019-03-26,0.3787585348607095,0.5590205876580944,0.33434446066314816,19.057169133758773,8.839860892690618,6.065854320162042
2019-03-27,0.20633906540912886,0.4044073217253951,0.15597887971833274,18.87754880122937,8.722423923732574,5.982168316501701
2019-03-28,0.33997237064472186,0.5166524150060567,0.25373429694614436,18.746195814184517,8.705579090348895,5.944697338993223
2019-03-29,0.41789974476373887,0.5635705150815357,0.3596600999522803,18.741256020495342,8.710277772106918,5.92970581804341
2019-04-01,0.37379187720570684,0.47197760002197675,0.24917832277961313,18.696347982286817,8.661730219465772,5.897253778127911
2019-04-02,0.5084713024020727,0.6327408584352103,0.38741073439770046,18.562526623959414,8.568743549839192,5.86640345866006
2019-04-03,0.475474504119466,0.5504249249895645,0.35493781001338814,18.548266972959183,8.5634068160144,5.867621495854163
2019-04-04,0.424011847442181,0.518068445957616,0.31205317838525615,18.516365581240603,8.550763146978213,5.856588023538629
2019-04-05,0.41975782730056,0.5375693388509543,0.34597728183668514,18.515192406413252,8.55519064028328,5.858395857149184
2019-04-08,0.5335775249732555,0.6374148087835826,0.43088267904851324,18.423061784782885,8.502769681821999,5.8389136417634555
2019-04-09,0.4981043332184754,0.5737541875193928,0.38726991847346515,18.4165983540506,8.49936567479877,5.833162218279472
2019-04-10,0.43212469974898005,0.5085901659328261,0.33579586999203986,18.35161842161689,8.46183224561309,5.810845901669584
2019-04-11,0.4236055412500358,0.4991499679938433,0.2619071573115739,18.35594440525245,8.464127509100477,5.82660830545038
2019-04-12,0.4003326441224683,0.48990222434909925,0.26413116355945093,18.34423037884651,8.46295242580281,5.82645918007084
2019-04-15,0.41378855132768577,0.5070953141194895,0.264779816714057,18.340811755661885,8.462202878680781,5.826460866979629
2019-04-16,0.36843644695619754,0.42292156384577856,0.17424322562332023,18.332976385702885,8.452438478007897,5.826711667583452
2019-04-17,0.28014724670367486,0.3201429911351719,0.07131147340853834,18.26783671229772,8.42317160298729,5.797236983475516
2019-04-18,0.28751078132022007,0.3918182722458535,0.13180071254659612,18.268052720918284,8.422974268817647,5.7974582599084865
2019-04-22,0.339523249066577,0.45501959694765914,0.20508043518019176,18.24740475634664,8.396214928698127,5.777701296769817
2019-04-23,0.444704389193304,0.6259787697421395,0.4006695353588082,18.206578475963298,8.375275968406646,5.74227846852943
2019-04-24,0.4502702900644324,0.6486312828810782,0.46349324504812056,18.205669969558052,8.376632084692364,5.739875616314979
2019-04-25,0.5514189161570641,0.7619529997405388,0.5749551164425755,18.123821682438752,8.313223943869092,5.705976106499016
2019-04-26,0.5752540793139446,0.8256800477521066,0.6655491541702039,18.127503183152506,8.32000521814579,5.708875056589698
2019-04-29,0.485147447850424,0.7031691069559313,0.5300535856397994,18.060047750530934,8.279333118871254,5.680849662579769
2019-04-30,0.46876244919810295,0.6879622255832241,0.49586109509837545,18.06004347157674,8.275265766946832,5.676307215139348
2019-05-01,0.4641248012902213,0.7010119204741736,0.5110222135815118,18.063035667630302,8.270453996031085,5.671678340592544
2019-05-02,0.40837559590613204,0.6662134998433735,0.45478419667947545,18.056070618944123,8.277918529846934,5.6815080308489945
2019-05-03,0.4864291040448333,0.8035317482852585,0.5980548720123735,18.06749586710308,8.289682040928426,5.704587811407018
2019-05-06,0.47372270684747053,0.7811409536407536,0.5586028086866585,18.069105842551384,8.291633038529017,5.703266915903854
2019-05-07,0.35113524543300967,0.5960471398017463,0.39387409549606517,18.033688693943315,8.286962377237787,5.6892405864097135
2019-05-08,0.3088536728152688,0.5480365987403187,0.3276674687914014,18.028070929943528,8.291447532407382,5.692449439630916
